Year,StateAbbr,StateDesc,CityName,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,,,
2017,NY,New York,New York,8.7,8,9.4,,,
2017,NY,New York,New York,13.7,12.9,14.4,,,
2017,NY,New York,New York,10,9.3,10.8,,,
2017,NY,New York,New York,12.8,11.8,13.7,,,
2017,NY,New York,New York,14.6,13.6,15.7,,,
2017,NY,New York,New York,14.1,13.2,14.9,,,
2017,NY,New York,New York,5.9,5.5,6.4,,,
2017,NY,New York,New York,10.3,9.4,11.1,,,
2017,NY,New York,New York,13,12.3,13.7,,,
2017,NY,New York,New York,8.9,8.3,9.6,,,
2017,NJ,New Jersey,Newark,19,18.3,19.8,,,
2017,NY,New York,New York,13.6,12.6,14.6,,,
2017,NY,New York,New York,9.8,9,10.6,,,
2017,NY,New York,New York,13.1,12,14.1,,,
2017,NY,New York,New York,11.5,10.9,12.1,,,
2017,NY,New York,New York,10.8,10.1,11.4,,,
2017,NY,New York,New York,10.4,9.7,11.1,,,
2017,NY,New York,New York,2.7,2.5,2.8,,,
2017,NY,New York,New York,15.9,15.1,16.8,,,
2017,NY,New York,New York,10.3,9.7,10.9,,,
2017,NY,New York,New York,15.2,14.2,16.2,,,
2017,NY,New York,New York,7.5,7,8,,,
2017,NY,New York,New York,11.7,10.7,12.7,,,
2017,NY,New York,New York,8.1,7.4,8.8,,,
2017,NY,New York,New York,9.3,8.6,10,,,
2017,NY,New York,New York,12.2,11.4,13.2,,,
2017,NY,New York,New York,11.9,10.9,12.9,,,
2017,NY,New York,New York,3.4,3.2,3.7,,,
2017,NY,New York,New York,12.7,11.8,13.6,,,
2017,NY,New York,New York,7.6,6.9,8.5,,,
2017,NY,New York,New York,10,9.1,10.9,,,
2017,NY,New York,New York,11.8,11.1,12.7,,,
2017,NY,New York,New York,11,10.5,11.6,,,
2017,NY,New York,New York,12.8,12.1,13.4,,,
2017,NY,New York,New York,11.7,11.2,12.2,,,
2017,NY,New York,New York,12.3,11.4,13.2,,,
2017,NY,New York,New York,4.8,4.5,5.1,,,
2017,NY,New York,New York,,,,,,
2017,NY,New York,New York,12.9,12.2,13.6,,,
2017,NY,New York,New York,12.3,11.3,13.3,,,
2017,NY,New York,New York,10.6,10,11.2,,,
2017,NY,New York,New York,9.2,8.5,9.8,,,
2017,NY,New York,New York,15.6,14.5,16.5,,,
2017,NY,New York,New York,13.2,12.4,14,,,
2017,NY,New York,New York,4.2,3.9,4.4,,,
2017,NY,New York,New York,11.2,10.7,11.7,,,
2017,NY,New York,New York,4.3,4.1,4.5,,,
2017,NY,New York,New York,11.2,10.4,12,,,
2017,NY,New York,New York,15.1,13.9,16.2,,,
2017,NY,New York,New York,14.8,14.1,15.6,,,
2017,NY,New York,New York,8.4,7.9,9.1,,,
2017,NY,New York,New York,10.7,9.8,11.5,,,
2017,NY,New York,New York,6.9,6.5,7.5,,,
2017,NY,New York,New York,10.8,9.8,11.8,,,
2017,NY,New York,New York,9.7,9,10.4,,,
2017,NY,New York,New York,12,11.2,13,,,
2017,NY,New York,New York,10.9,10.2,11.4,,,
2017,NY,New York,New York,9.1,8.4,9.8,,,
2017,NY,New York,New York,13.4,12.7,14.1,,,
2017,NY,New York,New York,5.4,5,5.8,,,
2017,NY,New York,New York,7.3,6.9,7.9,,,
2017,NY,New York,New York,17.9,17.1,18.9,,,
2017,NY,New York,New York,10.3,9.8,10.8,,,
2017,NY,New York,New York,14.4,13.7,15.2,,,
2017,NY,New York,New York,14.2,13.4,15.1,,,
2017,NY,New York,New York,9,8.3,9.6,,,
2017,NY,New York,New York,3.7,3.5,3.8,,,
2017,NY,New York,New York,5.1,4.8,5.4,,,
2017,NY,New York,New York,14.1,13.5,14.8,,,
2017,NY,New York,New York,8.7,8,9.4,,,
2017,NY,New York,New York,11.1,10.1,12,,,
2017,NY,New York,New York,7.8,7.3,8.3,,,
2017,NY,New York,New York,15.6,14.9,16.3,,,
2017,NY,New York,New York,9.8,9.3,10.3,,,
2017,NY,New York,New York,12.3,11.5,13.1,,,
2017,NY,New York,New York,11.1,10.4,11.8,,,
2017,NY,New York,New York,12.6,11.8,13.5,,,
2017,NY,New York,New York,10,9.3,10.8,,,
2017,NY,New York,New York,5.5,5.2,6,,,
2017,NY,New York,New York,5.3,5,5.7,,,
2017,NY,New York,New York,13.4,12.4,14.4,,,
2017,NY,New York,New York,9.6,8.9,10.2,,,
2017,NY,New York,New York,10.4,9,12,,,
2017,NY,New York,New York,10.8,10.1,11.4,,,
2017,NY,New York,New York,6.7,6.2,7.3,,,
2017,NY,New York,New York,12.3,11.7,13,,,
2017,NY,New York,New York,12.4,11.6,13.1,,,
2017,NY,New York,New York,13.1,12.4,13.9,,,
2017,NY,New York,New York,11.5,11,11.9,,,
2017,NY,New York,New York,14,13.2,14.7,,,
2017,NY,New York,New York,11.9,10.9,12.9,,,
2017,NY,New York,New York,10.1,9.6,10.5,,,
2017,NY,New York,New York,13.2,12.6,13.8,,,
2017,NY,New York,New York,19,18.2,19.9,,,
2017,NY,New York,New York,9.8,9.3,10.3,,,
2017,NY,New York,New York,9.1,8.2,10,,,
2017,NY,New York,New York,9.4,8.9,10,,,
2017,NY,New York,New York,9.5,8.7,10.3,,,
2017,NY,New York,New York,12.9,11.9,13.9,,,
2017,NY,New York,New York,7.9,7.1,8.8,,,
2017,NY,New York,New York,11.2,10.5,12,,,
2017,NY,New York,New York,6.7,6.3,7.2,,,
2017,NY,New York,New York,8.7,8,9.5,,,
2017,NY,New York,New York,15.6,15.1,16.1,,,
2017,NY,New York,New York,7.8,7.2,8.6,,,
2017,NY,New York,New York,19.3,18.3,20.2,,,
2017,NY,New York,New York,9.4,8.8,10.1,,,
2017,NY,New York,New York,14.1,13.1,15.1,,,
2017,NY,New York,New York,13.8,13.3,14.3,,,
2017,NY,New York,New York,12.3,11.8,12.9,,,
2017,NY,New York,New York,7,6.5,7.5,,,
2017,NY,New York,New York,6,5.7,6.5,,,
2017,NY,New York,New York,13.1,12.4,13.8,,,
2017,NY,New York,New York,11.2,10.6,11.9,,,
2017,NY,New York,New York,6.7,6.2,7.3,,,
2017,NY,New York,New York,16.5,15.1,17.8,,,
2017,NY,New York,New York,9.5,8.9,10,,,
2017,NY,New York,New York,9.3,8.7,10,,,
2017,NY,New York,New York,15.1,14.2,16,,,
2017,NY,New York,New York,8.7,8.2,9.2,,,
2017,NY,New York,New York,,,,,,
2017,NY,New York,New York,11.4,10.5,12.2,,,
2017,NY,New York,New York,14.8,13.7,15.8,,,
2017,NY,New York,New York,11.8,10.9,12.6,,,
2017,NY,New York,New York,13.9,12.9,14.9,,,
2017,NY,New York,New York,10.8,10.2,11.4,,,
2017,NY,New York,New York,14,13.3,14.8,,,
2017,NY,New York,New York,16.2,15.5,16.8,,,
2017,NY,New York,New York,8.1,7.3,8.8,,,
2017,NY,New York,New York,9.2,8.7,9.6,,,
2017,NY,New York,New York,9.4,8.7,10.1,,,
2017,CA,California,Victorville,13.7,12.9,14.5,,,
2017,NY,New York,New York,7.9,7.3,8.5,,,
2017,NY,New York,New York,12.2,11.2,13.1,,,
2017,NY,New York,New York,12.5,11.8,13.2,,,
2017,NY,New York,New York,12.1,11,13.1,,,
2017,NY,New York,New York,5.4,5.1,5.8,,,
2017,NY,New York,New York,5.1,4.9,5.4,,,
2017,NY,New York,New York,12.6,11.8,13.3,,,
2017,NY,New York,New York,11.5,10.7,12.3,,,
2017,PA,Pennsylvania,Philadelphia,17.6,16.2,19,,,
2017,NY,New York,New York,11.7,10.8,12.6,,,
2017,NY,New York,New York,12.1,11.5,12.7,,,
2017,NY,New York,New York,7.6,7.1,8.3,,,
2017,NY,New York,New York,6.6,6.1,7.2,,,
2017,NY,New York,New York,12.5,11.8,13.3,,,
2017,NY,New York,New York,7.1,6.4,7.8,,,
2017,NY,New York,New York,12.7,11.8,13.6,,,
2017,NY,New York,New York,10.4,9.7,11.1,,,
2017,NY,New York,New York,8.8,8,9.6,,,
2017,NY,New York,New York,6.6,6.2,7.1,,,
2017,NY,New York,New York,11.7,11,12.5,,,
2017,NY,New York,New York,10.9,10.2,11.7,,,
2017,NY,New York,New York,10.4,9.8,11,,,
2017,NY,New York,New York,10.4,9.9,11,,,
2017,NY,New York,New York,9.6,9.1,10.2,,,
2017,NY,New York,New York,11.6,10.9,12.3,,,
2017,NY,New York,New York,11.8,11.3,12.3,,,
2017,NY,New York,New York,12.1,11.3,12.9,,,
2017,NY,New York,New York,5.9,5.7,6.2,,,
2017,NY,New York,New York,9.8,9.4,10.3,,,
2017,NY,New York,New York,11.7,11.1,12.3,,,
2017,NY,New York,New York,15.1,14.3,15.9,,,
2017,NY,New York,New York,14.5,13.4,15.6,,,
2017,NY,New York,New York,7.3,6.8,7.9,,,
2017,NY,New York,New York,11.3,10.6,11.9,,,
2017,NY,New York,New York,10.6,9.9,11.4,,,
2017,NY,New York,New York,6.7,6.2,7.1,,,
2017,NY,New York,New York,17.4,16.2,18.6,,,
2017,NY,New York,New York,12.2,11.5,12.9,,,
2017,NY,New York,New York,11,10.1,11.8,,,
2017,NY,New York,New York,8.4,7.9,9,,,
2017,NY,New York,New York,15.6,14.5,16.7,,,
2017,NY,New York,New York,10.6,10,11.1,,,
2017,NY,New York,New York,9.9,9.2,10.6,,,
2017,NY,New York,New York,11.4,10.7,12.1,,,
2017,NY,New York,New York,10.8,10,11.5,,,
2017,NY,New York,New York,12.2,11.4,13,,,
2017,NY,New York,New York,5.9,5.5,6.5,,,
2017,NY,New York,New York,12.7,12,13.4,,,
2017,NY,New York,New York,14.5,13.5,15.5,,,
2017,NY,New York,New York,11.5,10.8,12.1,,,
2017,NY,New York,New York,9.8,9,10.6,,,
2017,NY,New York,New York,10.3,9.7,10.9,,,
2017,NY,New York,New York,12.8,12,13.7,,,
2017,NY,New York,New York,9.9,9.2,10.7,,,
2017,NY,New York,New York,5.7,5.4,6.1,,,
2017,NY,New York,New York,14.6,13.7,15.4,,,
2017,NY,New York,New York,12.1,11.7,12.4,,,
2017,NY,New York,New York,14.3,13.7,14.8,,,
2017,NY,New York,New York,14.4,13.5,15.4,,,
2017,NY,New York,New York,8.2,7.4,9.2,,,
2017,NY,New York,New York,5.2,4.8,5.7,,,
2017,NY,New York,New York,12.1,11.5,12.6,,,
2017,NY,New York,New York,8.1,7.6,8.6,,,
2017,NY,New York,New York,4.2,4,4.4,,,
2017,NY,New York,New York,10.2,9.6,10.8,,,
2017,NY,New York,New York,13.9,12.8,14.9,,,
2017,NY,New York,New York,8.2,7.6,8.8,,,
2017,NY,New York,New York,7.3,6.9,7.8,,,
2017,NY,New York,New York,10.8,9.9,11.8,,,
2017,NY,New York,New York,8.6,8.2,9.1,,,
2017,NY,New York,New York,4.4,4.1,4.8,,,
2017,NY,New York,New York,8.6,8.1,9.1,,,
2017,NY,New York,New York,12.7,11.6,13.7,,,
2017,NY,New York,New York,12.3,11.6,12.8,,,
2017,NY,New York,New York,12.6,11.8,13.4,,,
2017,NY,New York,New York,13.6,12.8,14.5,,,
2017,NY,New York,New York,5.7,5.3,6.2,,,
2017,NY,New York,New York,3.5,3.3,3.8,,,
2017,NY,New York,New York,13.6,12.9,14.5,,,
2017,NY,New York,New York,8.5,7.9,9.2,,,
2017,NY,New York,New York,14.2,13.5,14.8,,,
2017,NY,New York,New York,15.2,14.3,16,,,
2017,NY,New York,New York,17,16.3,17.6,,,
2017,NY,New York,New York,5.1,4.8,5.4,,,
2017,NY,New York,New York,9.4,8.7,10.2,,,
2017,NY,New York,New York,12.3,11.3,13.3,,,
2017,NY,New York,New York,,,,,,
2017,NY,New York,New York,9.4,8.8,10,,,
2017,NY,New York,New York,15.6,14.8,16.5,,,
2017,NY,New York,New York,13.5,12.4,14.6,,,
2017,NY,New York,New York,10.2,9.5,10.8,,,
2017,NY,New York,New York,14.8,13.9,15.6,,,
2017,NY,New York,New York,9.7,8.9,10.5,,,
2017,NY,New York,New York,9.6,9.1,10.1,,,
2017,NY,New York,New York,9.5,8.7,10.2,,,
2017,NY,New York,New York,5.3,5.1,5.6,,,
2017,NY,New York,New York,9.8,9.3,10.2,,,
2017,NY,New York,New York,11.6,10.7,12.5,,,
2017,NY,New York,New York,4.8,4.5,5.2,,,
2017,NY,New York,New York,13.2,12.1,14.3,,,
2017,NY,New York,New York,12.3,11.4,13.3,,,
2017,NY,New York,New York,7.6,7.1,8.2,,,
2017,NY,New York,New York,4.7,4.4,5.1,,,
2017,NY,New York,New York,4.5,4.2,4.8,,,
2017,NY,New York,New York,12.3,11.7,12.9,,,
2017,NY,New York,New York,9.8,8.9,10.7,,,
2017,NY,New York,New York,13.3,12.4,14.2,,,
2017,NY,New York,New York,7.2,6.7,7.7,,,
2017,NY,New York,New York,12.6,11.7,13.4,,,
2017,NY,New York,New York,16.5,15.7,17.2,,,
2017,NY,New York,New York,13.3,12.4,14.2,,,
2017,NY,New York,New York,3.5,3.3,3.9,,,
2017,NY,New York,New York,12.7,11.5,13.9,,,
2017,NY,New York,New York,4.8,4.6,5.1,,,
2017,NY,New York,New York,17.6,16.7,18.5,,,
2017,NY,New York,New York,11.9,11.4,12.3,,,
2017,NY,New York,New York,5,4.9,5.2,,,
2017,NY,New York,New York,14.5,13.5,15.4,,,
2017,NY,New York,New York,8.2,7.6,8.8,,,
2017,NY,New York,New York,6.3,5.9,6.8,,,
2017,NY,New York,New York,3.7,3.4,3.9,,,
2017,NY,New York,New York,8.8,7.9,9.6,,,
2017,NY,New York,New York,12.7,12,13.4,,,
2017,NY,New York,New York,6.6,6.3,6.9,,,
2017,NY,New York,New York,13,12.2,13.8,,,
2017,NY,New York,New York,13.3,12.6,13.9,,,
2017,NY,New York,New York,11.5,10.7,12.5,,,
2017,NY,New York,New York,14.2,13.5,14.9,,,
2017,NY,New York,New York,10,9.2,11,,,
2017,NY,New York,New York,12.6,11.9,13.4,,,
2017,NY,New York,New York,15.9,14.6,17.2,,,
2017,NY,New York,New York,9,8.3,9.6,,,
2017,NY,New York,New York,15.6,14.8,16.4,,,
2017,NY,New York,New York,15.3,14.5,16.1,,,
2017,NY,New York,New York,19.9,18.2,21.7,,,
2017,NY,New York,New York,6.3,5.8,6.9,,,
2017,NY,New York,New York,10.8,10.3,11.4,,,
2017,NY,New York,New York,7.9,7.3,8.6,,,
2017,NY,New York,New York,12.1,11.4,12.9,,,
2017,NY,New York,New York,9.5,8.8,10.1,,,
2017,NY,New York,New York,9.4,8.7,10.1,,,
2017,NY,New York,New York,11.5,11,12.1,,,
2017,NY,New York,New York,14.3,13.2,15.4,,,
2017,NY,New York,New York,12.2,11,13.7,,,
2017,NY,New York,New York,11.9,11.1,12.6,,,
2017,NY,New York,New York,7.3,6.8,7.9,,,
2017,NY,New York,New York,8.2,7.4,8.9,,,
2017,NY,New York,New York,12,11.3,12.6,,,
2017,NY,New York,New York,10.3,9.6,11,,,
2017,NY,New York,New York,13.8,12.7,15.1,,,
2017,NY,New York,New York,10.2,9.5,10.8,,,
2017,NY,New York,New York,15.9,14.9,16.9,,,
2017,NY,New York,New York,6.5,6.2,6.9,,,
2017,NY,New York,New York,12.7,11.7,13.7,,,
2017,NY,New York,New York,12.4,11.6,13.2,,,
2017,NY,New York,New York,9.4,8.6,10.3,,,
2017,NY,New York,New York,8.4,7.7,9.2,,,
2017,NY,New York,New York,9.8,9,10.5,,,
2017,NY,New York,New York,13.7,12.7,14.8,,,
2017,NY,New York,New York,4,3.8,4.2,,,
2017,NY,New York,New York,10.4,9.9,10.8,,,
2017,NY,New York,New York,9,8.4,9.7,,,
2017,NY,New York,New York,7.5,6.8,8.2,,,
2017,NY,New York,New York,20.4,19.6,21.3,,,
2017,NY,New York,New York,7.1,6.7,7.6,,,
2017,NY,New York,New York,3.8,3.7,4.1,,,
2017,NY,New York,New York,12.5,11.9,12.9,,,
2017,NY,New York,New York,9.1,8.3,9.9,,,
2017,NY,New York,New York,12.4,11.9,13,,,
2017,NY,New York,New York,12.9,12.3,13.5,,,
2017,NY,New York,New York,11.9,11.1,12.7,,,
2017,NY,New York,New York,10.7,9.9,11.5,,,
2017,NY,New York,New York,12.9,12.2,13.6,,,
2017,NY,New York,New York,13.7,12.9,14.6,,,
2017,NY,New York,New York,13.6,12.6,14.6,,,
2017,NY,New York,New York,11.7,11,12.4,,,
2017,NY,New York,New York,9.6,8.9,10.3,,,
2017,NY,New York,New York,10.5,9.7,11.2,,,
2017,NY,New York,New York,6.1,5.7,6.5,,,
2017,NY,New York,New York,12.3,11.7,12.8,,,
2017,NY,New York,New York,8.3,7.9,8.6,,,
2017,NY,New York,New York,11.3,10.6,12,,,
2017,NY,New York,New York,6.7,6.3,7.2,,,
2017,NY,New York,New York,14.8,13.8,15.6,,,
2017,NY,New York,New York,12.4,11.6,13.3,,,
2017,NY,New York,New York,15.5,14.8,16.2,,,
2017,NY,New York,New York,7.6,7.1,8.2,,,
2017,NY,New York,New York,10.5,9.9,11.2,,,
2017,NY,New York,New York,10.2,9.3,11.1,,,
2017,NY,New York,New York,5.2,4.9,5.5,,,
2017,NY,New York,New York,13.2,12.5,14,,,
2017,NY,New York,New York,4.8,4.5,5.2,,,
2017,NY,New York,New York,8.2,7.6,8.9,,,
2017,NY,New York,New York,13.6,12.8,14.4,,,
2017,NY,New York,New York,8.7,8.1,9.4,,,
2017,NY,New York,New York,12,11.3,12.7,,,
2017,NY,New York,New York,13,12,14,,,
2017,NY,New York,New York,17.6,16.8,18.5,,,
2017,NY,New York,New York,12.6,11.9,13.2,,,
2017,NY,New York,New York,14.1,13.2,15.1,,,
2017,NY,New York,New York,12.1,11.4,12.7,,,
2017,NY,New York,New York,8.4,7.6,9.2,,,
2017,NY,New York,New York,5.4,4.8,5.9,,,
2017,NY,New York,New York,13,12.2,13.8,,,
2017,NY,New York,New York,10.7,10.1,11.2,,,
2017,NY,New York,New York,17.1,16,18.2,,,
2017,NY,New York,New York,8.6,7.9,9.3,,,
2017,NY,New York,New York,19.1,18.3,20,,,
2017,NY,New York,New York,5.1,4.8,5.5,,,
2017,NY,New York,New York,13.3,12.5,14.1,,,
2017,NY,New York,New York,10.7,10.1,11.2,,,
2017,NY,New York,New York,10.7,9.9,11.4,,,
2017,NY,New York,New York,12,11.4,12.5,,,
2017,NY,New York,New York,5.3,4.9,5.7,,,
2017,PA,Pennsylvania,Erie,9.4,8.9,10,,,
2017,NY,New York,New York,7.4,6.6,8.4,,,
2017,NY,New York,New York,10.5,9.9,11,,,
2017,NY,New York,New York,15.4,14.4,16.3,,,
2017,NY,New York,New York,9.7,9.1,10.3,,,
2017,NY,New York,New York,12,11.1,13,,,
2017,NY,New York,New York,12.3,11.8,12.8,,,
2017,NY,New York,New York,10.5,9.6,11.5,,,
2017,NY,New York,New York,7.7,7.3,8.2,,,
2017,NY,New York,New York,11.7,11.1,12.2,,,
2017,NY,New York,New York,12.2,11.1,13.2,,,
2017,NY,New York,New York,9.2,8.5,9.9,,,
2017,NY,New York,New York,14.7,14.1,15.2,,,
2017,NY,New York,New York,5.8,5.4,6.3,,,
2017,NY,New York,New York,4,3.8,4.3,,,
2017,NY,New York,New York,16.4,15.2,17.5,,,
2017,NY,New York,New York,8.9,8,9.9,,,
2017,NY,New York,New York,11.7,11,12.4,,,
2017,NY,New York,New York,12.6,11.5,13.7,,,
2017,NY,New York,New York,8.4,7.6,9.2,,,
2017,NY,New York,New York,12.1,11.4,12.9,,,
2017,NY,New York,New York,13.2,12.4,13.9,,,
2017,NY,New York,New York,17.3,16.4,18,,,
2017,NY,New York,New York,13.1,12.2,13.9,,,
2017,NY,New York,New York,10.8,10.2,11.5,,,
2017,NY,New York,New York,7.5,7,8.2,,,
2017,NY,New York,New York,11.1,10.6,11.5,,,
2017,NY,New York,New York,5.4,5,5.9,,,
2017,NY,New York,New York,13.6,12.8,14.4,,,
2017,NY,New York,New York,11,10.3,11.7,,,
2017,NY,New York,New York,15.4,14.4,16.4,,,
2017,NY,New York,New York,10.4,9.5,11.4,,,
2017,NY,New York,New York,16.9,16,17.9,,,
2017,NY,New York,New York,7.8,7.2,8.5,,,
2017,NY,New York,New York,14.5,13.9,15.1,,,
2017,NY,New York,New York,13.1,12.4,13.8,,,
2017,NY,New York,New York,14.6,13.7,15.5,,,
2017,NY,New York,New York,10.6,10,11.4,,,
2017,NY,New York,New York,10.7,9.9,11.4,,,
2017,NY,New York,New York,10.3,9.7,10.9,,,
2017,NY,New York,New York,13.6,12.7,14.5,,,
2017,NY,New York,New York,9.2,8.6,9.8,,,
2017,NY,New York,New York,9.4,8.7,10.1,,,
2017,NY,New York,New York,15.9,15,16.7,,,
2017,NY,New York,New York,11.4,10.6,12.4,,,
2017,NY,New York,New York,9,8.3,9.7,,,
2017,NY,New York,New York,10,9.3,10.7,,,
2017,NY,New York,New York,18,17.1,19,,,
2017,NY,New York,New York,7.1,6.7,7.6,,,
2017,NY,New York,New York,7.6,7.1,8.2,,,
2017,NY,New York,New York,18.4,17.6,19.2,,,
2017,NY,New York,New York,11.4,10.6,12.3,,,
2017,NY,New York,New York,13.1,12,14,,,
2017,NY,New York,New York,9.3,8.8,10,,,
2017,NY,New York,New York,10.8,10,11.7,,,
2017,NY,New York,New York,8.5,8,9.1,,,
2017,NY,New York,New York,11.8,11,12.7,,,
2017,NY,New York,New York,6.1,5.7,6.5,,,
2017,NY,New York,New York,11.9,10.9,13,,,
2017,NY,New York,New York,11.4,10.9,12,,,
2017,NY,New York,New York,10.8,10.1,11.6,,,
2017,NY,New York,New York,10.8,10.1,11.7,,,
2017,NY,New York,New York,12.1,11.4,12.8,,,
2017,NY,New York,New York,10.5,10.1,10.9,,,
2017,NY,New York,New York,12.1,11.2,12.9,,,
2017,NY,New York,New York,10.1,9.4,10.8,,,
2017,NY,New York,New York,11.6,11,12.2,,,
2017,NY,New York,New York,12.2,11.3,13.1,,,
2017,NY,New York,New York,13.1,12.4,13.8,,,
2017,NY,New York,New York,7.9,7.4,8.4,,,
2017,NY,New York,New York,6.1,5.5,6.7,,,
2017,NY,New York,New York,12.9,12.2,13.7,,,
2017,NY,New York,New York,4.5,4.3,4.8,,,
2017,NY,New York,New York,16.9,16.1,17.6,,,
2017,NY,New York,New York,,,,,,
2017,NY,New York,New York,12.2,11.2,13.2,,,
2017,NY,New York,New York,9.2,8.6,9.9,,,
2017,NY,New York,New York,12.3,11.4,13.1,,,
2017,NY,New York,New York,10.4,9.8,11,,,
2017,NY,New York,New York,7.8,7.4,8.3,,,
2017,NY,New York,New York,11.7,11,12.3,,,
2017,NY,New York,New York,11.3,10.3,12.5,,,
2017,NY,New York,New York,5.7,5.3,6.1,,,
2017,NY,New York,New York,14.7,13.8,15.6,,,
2017,NY,New York,New York,12.4,11.6,13.2,,,
2017,NY,New York,New York,6.5,6.2,6.7,,,
2017,PA,Pennsylvania,Pittsburgh,3.9,3.6,4.2,,,
2017,NY,New York,New York,16.8,15.8,17.8,,,
2017,NY,New York,New York,14.1,13.4,14.7,,,
2017,NY,New York,New York,14.1,13.5,14.6,,,
2017,NY,New York,New York,11.9,11.1,12.6,,,
2017,NY,New York,New York,10.7,10.1,11.3,,,
2017,NY,New York,New York,8.3,7.5,9.2,,,
2017,NY,New York,New York,12.6,11.5,13.6,,,
2017,NY,New York,New York,6.6,6.3,7,,,
2017,NY,New York,New York,12.4,11.6,13.3,,,
2017,NY,New York,New York,11.6,10.7,12.4,,,
2017,NY,New York,New York,9.9,9.3,10.6,,,
2017,NY,New York,New York,9.4,8.6,10.3,,,
2017,NY,New York,New York,16.4,15.6,17.2,,,
2017,NY,New York,New York,12.5,11.8,13.1,,,
2017,NY,New York,New York,14.2,13.2,15.2,,,
2017,NY,New York,New York,13.3,12.3,14.3,,,
2017,NY,New York,New York,9.3,8.6,10,,,
2017,NY,New York,New York,3.6,3.4,3.9,,,
2017,NY,New York,New York,8.7,8.2,9.4,,,
2017,NY,New York,New York,12.9,12.2,13.5,,,
2017,NY,New York,New York,,,,,,
2017,NY,New York,New York,16.4,15.3,17.5,,,
2017,NY,New York,New York,9.7,8.9,10.5,,,
2017,NY,New York,New York,11.3,10.7,11.9,,,
2017,NY,New York,New York,9.3,8.6,10.1,,,
2017,NY,New York,New York,17.9,17,18.7,,,
2017,NY,New York,New York,9.3,8.6,9.9,,,
2017,NY,New York,New York,5.3,5,5.6,,,
2017,NY,New York,New York,9.9,9,10.8,,,
2017,NY,New York,New York,15.7,15,16.4,,,
2017,NY,New York,New York,8.1,7.6,8.6,,,
2017,NY,New York,New York,13.1,12.3,13.8,,,
2017,NY,New York,New York,10.6,9.9,11.3,,,
2017,NY,New York,New York,10.3,9.6,10.9,,,
2017,NY,New York,New York,12.1,11.4,12.9,,,
2017,NY,New York,New York,22.5,20.9,23.9,,,
2017,NY,New York,New York,13.2,12.5,13.9,,,
2017,NY,New York,New York,8.4,7.7,9.2,,,
2017,NY,New York,New York,11.6,10.9,12.2,,,
2017,NY,New York,New York,9.7,9,10.4,,,
2017,NH,New Hampshire,Manchester,8.2,7.5,8.9,,,
2017,NJ,New Jersey,Jersey City,3,2.9,3.2,,,
2017,NJ,New Jersey,Paterson,16.6,15.8,17.4,,,
2017,NJ,New Jersey,Elizabeth,12.8,12.3,13.4,,,
2017,PA,Pennsylvania,Pittsburgh,12.1,11.1,13.2,,,
2017,PA,Pennsylvania,Philadelphia,15.2,14.6,15.8,,,
2017,NJ,New Jersey,Paterson,17.4,16.8,18.1,,,
2017,NV,Nevada,Reno,5.3,4.9,5.8,,,
2017,NC,North Carolin,Charlotte,7.9,7.1,8.7,,,
2017,NY,New York,Rochester,13.6,13.1,14.2,,,
2017,NC,North Carolin,Charlotte,7.7,7,8.3,,,
2017,NC,North Carolin,Charlotte,4.6,4.3,5,,,
2017,NY,New York,Syracuse,15,14.2,15.8,,,
2017,NY,New York,Rochester,16.8,15.9,17.6,,,
2017,NY,New York,Syracuse,9.6,8.9,10.4,,,
2017,NC,North Carolin,Charlotte,12.4,11.8,13,,,
2017,NY,New York,Yonkers,7.8,7.1,8.4,,,
2017,NY,New York,Yonkers,10.5,10.4,10.6,,,
2017,NY,New York,Rochester,15.4,14.9,15.9,,,
2017,NC,North Carolin,Cary,11.7,10.5,13.1,,,
2017,NC,North Carolin,Charlotte,6.9,6.4,7.4,,,
2017,NC,North Carolin,Charlotte,9.1,8.5,9.7,,,
2017,NC,North Carolin,Charlotte,6.6,6.1,7.3,,,
2017,NY,New York,Schenectady,8.4,7.8,9,,,
2017,NC,North Carolin,Asheville,7.7,7.1,8.4,,,
2017,NY,New York,Syracuse,,,,,,
2017,NC,North Carolin,Charlotte,7.1,6.7,7.4,,,
2017,NY,New York,Rochester,17.9,17,18.9,,,
2017,NC,North Carolin,Charlotte,16.8,16,17.6,,,
2017,NC,North Carolin,Charlotte,9.7,9.2,10.2,,,
2017,NY,New York,Yonkers,12,11.4,12.5,,,
2017,NC,North Carolin,Charlotte,13.3,12.5,14,,,
2017,NY,New York,Rochester,17.7,17.1,18.3,,,
2017,NC,North Carolin,Charlotte,20,18.6,21.4,,,
2017,NY,New York,Yonkers,10.9,10.2,11.7,,,
2017,NY,New York,Syracuse,8.1,7.5,8.7,,,
